Valuador,Muestra,NombreProducto,CodigoProducto
V1,2,144_1,420
V1,3,136_2,266
V1,7,136_1,510
V1,5,142_1,360
V1,8,139_1,827
V1,4,144_2,489
V1,1,135_1,528
V1,6,140_1,173
V2,3,136_2,266
V2,5,142_1,360
V2,2,144_1,420
V2,4,144_2,489
V2,7,136_1,510
V2,6,140_1,173
V2,8,139_1,827
V2,1,135_1,528
V3,5,142_1,360
V3,4,144_2,489
V3,3,136_2,266
V3,6,140_1,173
V3,2,144_1,420
V3,1,135_1,528
V3,7,136_1,510
V3,8,139_1,827
V4,4,144_2,489
V4,6,140_1,173
V4,5,142_1,360
V4,1,135_1,528
V4,3,136_2,266
V4,8,139_1,827
V4,2,144_1,420
V4,7,136_1,510
V5,6,140_1,173
V5,1,135_1,528
V5,4,144_2,489
V5,8,139_1,827
V5,5,142_1,360
V5,7,136_1,510
V5,3,136_2,266
V5,2,144_1,420
V6,1,135_1,528
V6,8,139_1,827
V6,6,140_1,173
V6,7,136_1,510
V6,4,144_2,489
V6,2,144_1,420
V6,5,142_1,360
V6,3,136_2,266
V7,8,139_1,827
V7,7,136_1,510
V7,1,135_1,528
V7,2,144_1,420
V7,6,140_1,173
V7,3,136_2,266
V7,4,144_2,489
V7,5,142_1,360
V8,7,136_1,510
V8,2,144_1,420
V8,8,139_1,827
V8,3,136_2,266
V8,1,135_1,528
V8,5,142_1,360
V8,6,140_1,173
V8,4,144_2,489
V9,4,144_2,489
V9,1,135_1,528
V9,5,142_1,360
V9,2,144_1,420
V9,7,136_1,510
V9,8,139_1,827
V9,3,136_2,266
V9,6,140_1,173
V10,1,135_1,528
V10,2,144_1,420
V10,4,144_2,489
V10,8,139_1,827
V10,5,142_1,360
V10,6,140_1,173
V10,7,136_1,510
V10,3,136_2,266
V11,2,144_1,420
V11,8,139_1,827
V11,1,135_1,528
V11,6,140_1,173
V11,4,144_2,489
V11,3,136_2,266
V11,5,142_1,360
V11,7,136_1,510
V12,8,139_1,827
V12,6,140_1,173
V12,2,144_1,420
V12,3,136_2,266
V12,1,135_1,528
V12,7,136_1,510
V12,4,144_2,489
V12,5,142_1,360
V13,6,140_1,173
V13,3,136_2,266
V13,8,139_1,827
V13,7,136_1,510
V13,2,144_1,420
V13,5,142_1,360
V13,1,135_1,528
V13,4,144_2,489
V14,3,136_2,266
V14,7,136_1,510
V14,6,140_1,173
V14,5,142_1,360
V14,8,139_1,827
V14,4,144_2,489
V14,2,144_1,420
V14,1,135_1,528
V15,7,136_1,510
V15,5,142_1,360
V15,3,136_2,266
V15,4,144_2,489
V15,6,140_1,173
V15,1,135_1,528
V15,8,139_1,827
V15,2,144_1,420
V16,5,142_1,360
V16,4,144_2,489
V16,7,136_1,510
V16,1,135_1,528
V16,3,136_2,266
V16,2,144_1,420
V16,6,140_1,173
V16,8,139_1,827
V17,6,140_1,173
V17,8,139_1,827
V17,7,136_1,510
V17,1,135_1,528
V17,2,144_1,420
V17,5,142_1,360
V17,3,136_2,266
V17,4,144_2,489
V18,8,139_1,827
V18,1,135_1,528
V18,6,140_1,173
V18,5,142_1,360
V18,7,136_1,510
V18,4,144_2,489
V18,2,144_1,420
V18,3,136_2,266
V19,1,135_1,528
V19,5,142_1,360
V19,8,139_1,827
V19,4,144_2,489
V19,6,140_1,173
V19,3,136_2,266
V19,7,136_1,510
V19,2,144_1,420
V20,5,142_1,360
V20,4,144_2,489
V20,1,135_1,528
V20,3,136_2,266
V20,8,139_1,827
V20,2,144_1,420
V20,6,140_1,173
V20,7,136_1,510
V21,4,144_2,489
V21,3,136_2,266
V21,5,142_1,360
V21,2,144_1,420
V21,1,135_1,528
V21,7,136_1,510
V21,8,139_1,827
V21,6,140_1,173
V22,3,136_2,266
V22,2,144_1,420
V22,4,144_2,489
V22,7,136_1,510
V22,5,142_1,360
V22,6,140_1,173
V22,1,135_1,528
V22,8,139_1,827
V23,2,144_1,420
V23,7,136_1,510
V23,3,136_2,266
V23,6,140_1,173
V23,4,144_2,489
V23,8,139_1,827
V23,5,142_1,360
V23,1,135_1,528
V24,7,136_1,510
V24,6,140_1,173
V24,2,144_1,420
V24,8,139_1,827
V24,3,136_2,266
V24,1,135_1,528
V24,4,144_2,489
V24,5,142_1,360
V25,4,144_2,489
V25,1,135_1,528
V25,7,136_1,510
V25,2,144_1,420
V25,8,139_1,827
V25,5,142_1,360
V25,6,140_1,173
V25,3,136_2,266
V26,1,135_1,528
V26,2,144_1,420
V26,4,144_2,489
V26,5,142_1,360
V26,7,136_1,510
V26,3,136_2,266
V26,8,139_1,827
V26,6,140_1,173
V27,2,144_1,420
V27,5,142_1,360
V27,1,135_1,528
V27,3,136_2,266
V27,4,144_2,489
V27,6,140_1,173
V27,7,136_1,510
V27,8,139_1,827
V28,5,142_1,360
V28,3,136_2,266
V28,2,144_1,420
V28,6,140_1,173
V28,1,135_1,528
V28,8,139_1,827
V28,4,144_2,489
V28,7,136_1,510
V29,3,136_2,266
V29,6,140_1,173
V29,5,142_1,360
V29,8,139_1,827
V29,2,144_1,420
V29,7,136_1,510
V29,1,135_1,528
V29,4,144_2,489
V30,6,140_1,173
V30,8,139_1,827
V30,3,136_2,266
V30,7,136_1,510
V30,5,142_1,360
V30,4,144_2,489
V30,2,144_1,420
V30,1,135_1,528
V31,8,139_1,827
V31,7,136_1,510
V31,6,140_1,173
V31,4,144_2,489
V31,3,136_2,266
V31,1,135_1,528
V31,5,142_1,360
V31,2,144_1,420
V32,7,136_1,510
V32,4,144_2,489
V32,8,139_1,827
V32,1,135_1,528
V32,6,140_1,173
V32,2,144_1,420
V32,3,136_2,266
V32,5,142_1,360
